method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
Černač, Zvonko	13	139.42927	14.83338
Širca Ravnikar, Majda	13	246.78251	26.2543
Pavlinič Krebs, Irma	12	124.5645	13.25197
Horvat, Jožef	12	83.77628	8.91266
Gašpar Mišič, Gašpar	11	1310.69365	139.43996
Heferle, Tina	10	291.49879	31.0115
Vizjak, Andrej	10	95.57114	10.16747
Kociper, Maša	10	265.85867	28.28374
Pahor, Borut	10	108.47868	11.54065
Sajovic, Borut	10	211.7035	22.52237
Han, Matjaž	9	257.57462	27.40243
Meh, Srečko	9	588.241	62.58083
Zagorac, Boštjan	9	302.55352	32.18757
Bah Žibert, Anja	9	173.24683	18.4311
Levanič, Dejan	9	795.58083	84.63897
Kontič, Bojan	9	252.4147	26.85349
Brinovšek, Nada	8	502.67787	53.47808
Anderlič, Anton	8	135.53536	14.41912
Prikl, Uroš	8	281.67163	29.96603
Jeraj, Alenka	8	182.483	19.41371
Brulc, Mirko	8	423.24067	45.02704
Breznik, Franc	8	158.40743	16.85239
Vrtovec, Jernej	8	215.75892	22.95381
Peče, Sašo	8	72.12036	7.67262
Bevk, Samo	7	143.30932	15.24616
Jerovšek, Jožef	7	76.14801	8.10111
Pavšič, Robert	7	330.59949	35.17128
Furman, Karmen	7	1106.83287	117.75195
Bandelli, Marko	7	239.10943	25.43799
Posedel, Alojz	7	671.16053	71.40234
Žerjav, Radovan	6	206.19555	21.9364
Kavtičnik, Jože Jožef	6	511.7107	54.43905
Koražija, Boštjan	6	339.55997	36.12456
Potrč, Miran	6	65.31432	6.94855
Gantar, Pavel	6	65.86235	7.00686
Cvikl, Milan Martin	6	95.75522	10.18705
Stare, Darko	5	609.9344	64.88872
Kustec Lipicer, Simona	5	360.47596	38.34973
Lenart, Jožef	5	439.46006	46.75257
Prebil, Nik	5	348.30212	37.0546
Mesec, Luka	5	85.44202	9.08987
Godec, Jelka	5	133.2939	14.18066
Frangež, Matevž	4	122.0982	12.98959
Korče, Jerca	4	408.01732	43.40749
Sluga, Janja	4	115.56486	12.29453
Janša, Ivan Janez	4	44.19047	4.70126
