method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
SDS koaliciji in levici očita: Vaša stališča odražajo popol…	1	20695.74153	2044.98978
Starševstvo in medsebojni odnosi Ločitev	1	51.39306	5.07826
avtorske pravice	1	15862.41004	1567.39812
&#34;Vsi vemo, da smo v socializmu živeli bolje&#34;	1	127.73537	12.6218
Noč Modrijanov: koncertni spektakel narodno-zabavne glasbe	1	2682.98452	265.11135
Megliču zaradi napada Baričevičevih psov 86.000 evrov odško…	1	19094.7502	1886.79245
Foto: Janković v Stožicah le dočakal Hej, brigade	1	853.16284	84.30282
Anja Hlača Ferjančič: V športnem novinarstvu je preveč navi…	1	11795.12542	1165.50117
Slovenski radio Narodnjak in simbolika, ki jo nosi	1	15763.57883	1557.6324
Kdo voli samo zato, ker je proti? MONA!!!!	1	5060.1088	500
Kitajski horoskop od 30. 11. do 5. 12. 2015	1	7233.89393	714.79628
&#34;Politični grafit bo vedno ostal medij tistih, ki nimajo dr…	1	6056.38397	598.44405
Ravnovesje III	1	12842.91574	1269.03553
Starševstvo in medsebojni odnosi Mejna osebnostna motnja	1	130.80117	12.92474
Uporabniški pogovor:Sporting21	1	28347.94848	2801.12045
Prenesenih 3,3 milijarde evrov, na bankah še 6,6 milijarde …	1	2384.03242	235.57126
Prevara stoletja III.	1	2522.48694	249.25224
ZVOK Grega Repovž o kandidaturi Alenke Bratušek in evrops…	1	17269.99592	1706.48464
Preštevanje po Janševo	1	3520.07569	347.82609
Zahvala Urške Bačovnik Janša	1	19203.44897	1897.53321
Juncker izbral Bratuškovo za podpredsednico Evropske komisi…	1	539.68737	53.32765
Video: Skrajno desničarske stranke &#34;zatresle&#34; EU	1	1315.33891	129.97141
Islamska država naj bi načrtovala napade na ZDA in Pariz	1	1727.88417	170.73587
Spet zarota proti Janši ali kdo bo koga ...	1	19727.5197	1949.31774
Demokracija	1	7157.15531	707.21358
Idrija- Porka fiks	1	5932.13224	586.16647
Vsebinska degradacija članka	1	11699.67353	1156.06936
Španci že v uvodni četrtini prizemljili Brazilce	1	1207.5191	119.3175
Okrožno sodišče neusmiljeno do Ivana Črnkoviča	1	1169.56173	115.56686
IS ne popušča: v svarilo Zahodu obglavili Kurda	1	1742.76177	172.20596
Najugodnejši ponudnik ne bo mogel graditi novomeške urgence	1	5388.82727	532.48136
Vzpon SDS	1	2774.18246	274.12281
&#34;S tem, kaj bo, če škotski referendum pade, se vsi bolj mal…	1	9353.25102	924.21442
Janša navzočim na shodu: Slovenci se bomo uprli levemu faši…	1	148.07546	14.63165
Disobey	1	8769.68597	866.55113
Največ slabih posojil pod vodstvom Marjana Kramarja in Matj…	1	941.32803	93.0146
Pica	1	13316.0758	1315.78947
PRITOŽBA	1	27956.40223	2762.43094
Pirc Musarjeva kot informacijska pooblaščenka oglobila vse …	1	10664.08599	1053.74078
Geopedija - kršitev moralnih avtorskih pravic?	1	2161.05437	213.53833
Tanka rdeča črta	1	24386.06652	2409.63855
