method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
OZIOIP-nujna-8-2015-02-10.ana	2	681.0106	47.94094
Skupna-2011-01-21.ana	2	2567.59151	180.75011
Redna-31-2011-09-20.ana	2	357.91728	25.19622
Skupna-2014-05-28.ana	2	1077.58013	75.85815
OZZ-035-Nujna-2020-06-01.ana	2	648.66889	45.66419
Redna-13-2015-11-18.ana	2	308.90943	21.74622
Skupna-2015-10-07.ana	2	499.56744	35.16793
OZNPJUIP-Nujna-045-2010-12-21.ana	2	833.80976	58.6975
Redna-12-2015-10-22.ana	2	572.79032	40.32258
Redna-10-2015-07-09.ana	2	443.35139	31.2105
KZOSSVZIPS-srecanje-1-2015-07-02.ana	2	596.73178	42.00798
OZF-036-Nujna-2020-04-01.ana	2	412.56408	29.04317
Redna-02-2014-11-19.ana	2	434.34337	30.57636
Izredna-31-2007-11-27.ana	2	401.2655	28.24779
OZZP-nujna-2-2014-09-12.ana	2	1371.09213	96.52044
OZKSSIM-Nujna-007-2009-11-13.ana	2	840.69362	59.1821
OZDDSZII-redna-5-2015-02-10.ana	2	484.41406	34.10118
Redna-23-2014-03-31.ana	2	409.661	28.83881
OZOIP-Nujna-001-2008-11-19.ana	2	1178.07265	82.93249
OZIZSIM-nujna-6-2014-11-26.ana	2	1287.81107	90.65772
Izredna-25-2002-12-19.ana	2	470.12957	33.0956
UK-Izredna-001-2002-06-07.ana	2	3459.62008	243.54603
Izredna-06-2001-04-20.ana	2	327.76567	23.07364
Izredna-32-1999-02-10.ana	2	570.73063	40.17758
Izredna-32-1999-02-09.ana	2	1005.99837	70.81902
OZO-Redna-031-1999-02-02.ana	2	3386.62536	238.40744
OZIIO-Redna-029-1998-09-16.ana	2	2312.98544	162.82667
KZPe-Redna-001-1997-02-13.ana	2	2455.94745	172.89073
Skupna-1997-01-31.ana	2	1709.30751	120.3297
Izredna-37-1995-12-21.ana	2	655.55402	46.14888
ZbObc.1990-10-30.s007-02.ana	2	570.54725	40.16468
Redna-24-2003-03-26.ana	1	322.69144	22.71643
OZKSMZIS-Redna-020-2003-05-07.ana	1	819.87764	57.71673
Redna-26-2003-05-26.ana	1	1109.95468	78.13721
Izredna-48-2004-07-05.ana	1	222.64855	15.67374
Redna-29-2011-06-16.ana	1	177.22827	12.4763
KKPD-Redna-019-2005-04-11.ana	1	932.34445	65.63402
KZEZ-Nujna-008-2003-07-03.ana	1	756.40043	53.24814
PSGS-Javna-014-2003-07-22.ana	1	737.16658	51.89414
MK-Redna-010-2003-05-08.ana	1	2401.14943	169.03313
OZFIMP-Redna-040-2003-09-10.ana	1	289.49439	20.37947
OZG-Nujna-024-2008-05-30.ana	1	332.44091	23.40276
Redna-28-2017-03-24.ana	1	303.51046	21.36615
PZLPIP-Redna-005-2003-06-10.ana	1	906.11725	63.78771
Izredna-04-2012-01-26.ana	1	1056.46289	74.37156
KZNOIVS-nujna-25-2016-11-17.ana	1	1112.6498	78.32694
OZNP-Redna-043-2003-11-13.ana	1	709.40871	49.94007
Redna-31-2003-11-25.ana	1	146.19668	10.29177
Izredna-48-2000-05-23.ana	1	270.983	19.07632
OZKSMZIS-Redna-029-2004-02-11.ana	1	583.32786	41.06439
Izredna-38-1999-07-28.ana	1	270.16356	19.01864
Redna-34-2004-02-23.ana	1	311.05369	21.89717
SDZ8-Redna-09-2019-06-17.ana	1	198.42159	13.96824
MK-Nujna-005-2004-03-18.ana	1	906.40633	63.80807
KKPD-Redna-100-2004-04-02.ana	1	1643.5497	115.70057
Redna-06-1997-10-08.ana	1	735.75387	51.79469
OZG-Redna-046-2004-04-05.ana	1	759.02752	53.43308
OZG-Nujna-022-2004-04-13.ana	1	603.50072	42.48449
Redna-14-2010-03-05.ana	1	178.10153	12.53777
OZDDSZII-027-Redna-2021-03-10.ana	1	953.24118	67.10509
OZOIP-Javna-003-2008-07-03.ana	1	1241.49625	87.39731
KKPD-Redna-118-2004-07-05.ana	1	6483.43225	456.4126
OZZP-redna-30-2013-05-15.ana	1	1332.94549	93.83504
KZOSSVZIPS-srecanje-3-2017-07-06.ana	1	390.69281	27.50351
Skupna-047-Redna-2019-06-14.ana	1	1355.97557	95.45628
KZPTZCPIEM-Redna-001-2005-01-14.ana	1	2627.18699	184.94544
OZZ-Nujna-002-2005-02-02.ana	1	397.87133	28.00885
OZNP-Redna-047-2004-02-12.ana	1	750.24823	52.81504
UK-Redna-001-2005-02-25.ana	1	626.08313	44.07422
Redna-22-2003-01-27.ana	1	554.63064	39.0442
Redna-04-2005-03-29.ana	1	434.66234	30.59882
Redna-05-2005-04-20.ana	1	218.02499	15.34825
OZKSIS-Redna-005-2005-06-01.ana	1	161.09139	11.34031
Redna-07-2005-06-15.ana	1	605.42983	42.6203
Skupna-2005-07-01.ana	1	1981.19945	139.47001
Redna-08-2005-07-11.ana	1	349.39984	24.59662
SDZ8-Redna-12-2019-10-24.ana	1	207.47513	14.60558
OZDDSZII-Redna-007-2005-09-07.ana	1	796.47884	56.06953
OZNPJUIP-Redna-011-2005-09-08.ana	1	428.52575	30.16682
Redna-09-2005-09-26.ana	1	308.33948	21.7061
OZKSIS-Nujna-008-2005-10-19.ana	1	656.00813	46.18084
Izredna-19-1998-01-22.ana	1	412.67794	29.05119
Redna-10-2005-10-25.ana	1	185.85166	13.08335
KKPD-Redna-041-2005-11-11.ana	1	833.73636	58.69233
KKPD-Redna-041-2005-11-14.ana	1	1730.65303	121.83236
Redna-11-2005-11-21.ana	1	411.36337	28.95865
Redna-11-2005-11-25.ana	1	503.31999	35.43209
Izredna-14-2006-01-11.ana	1	465.68319	32.78259
OZO-redna-21-2018-04-05.ana	1	833.05184	58.64415
Izredna-17-2006-02-13.ana	1	208.2935	14.66319
OZK-030-Nujna-2020-12-04.ana	1	254.53698	17.91858
OZNZJUILS-redna-16-2016-02-11.ana	1	230.37577	16.21771
OZZP-Redna-068-2003-06-06.ana	1	542.36952	38.18105
Redna-14-2006-02-27.ana	1	396.70465	27.92672
VsiZbor.1990-11-21.s010-01.ana	1	307.01997	21.61321
Redna-14-2006-02-28.ana	1	186.64039	13.13888
Izredna-13-2005-12-12.ana	1	323.47771	22.77178
Skupna-2017-12-20.ana	1	761.63209	53.61643
Redna-16-2006-04-25.ana	1	192.61027	13.55914
Izredna-43-2004-04-19.ana	1	156.61742	11.02536
Redna-14-2013-05-22.ana	1	359.8075	25.32928
OZDDSZII-Redna-015-2006-05-04.ana	1	752.7529	52.99136
Redna-17-2006-05-30.ana	1	290.31085	20.43694
OZZEU-091-Redna-2020-12-04.ana	1	480.39229	33.81806
OZO-Redna-005-2006-06-09.ana	1	1127.21791	79.35248
KZNPIDJF-Redna-026-2006-06-14.ana	1	628.93828	44.27521
Izredna-35-2003-11-18.ana	1	176.77614	12.44447
Redna-15-2006-03-29.ana	1	173.45837	12.21091
OZZP-Redna-019-2006-10-06.ana	1	986.67778	69.45892
KZPTZCPIEM-Redna-019-2006-11-10.ana	1	858.32024	60.42296
Redna-24-2007-02-02.ana	1	321.30465	22.61881
Redna-22-2006-11-28.ana	1	198.7186	13.98914
OZNPJUIP-Redna-026-2006-11-08.ana	1	600.28736	42.25828
OZNPJUIP-Nujna-032-2007-02-13.ana	1	777.4725	54.73154
OZNPJUIP-Redna-030-2007-02-21.ana	1	829.40387	58.38734
OZDDSZII-redna-26-2016-09-08.ana	1	804.41701	56.62835
Redna-28-1995-01-31.ana	1	397.77106	28.00179
OZKSIS-Redna-025-2007-06-26.ana	1	795.18585	55.9785
Redna-30-2007-07-10.ana	1	129.65326	9.12717
SDZ8-Redna-20-2020-09-21.ana	1	196.96071	13.86539
Redna-32-2007-10-24.ana	1	296.60904	20.88031
Redna-32-2007-10-25.ana	1	166.18156	11.69864
OZKGIP-Redna-024-2007-11-07.ana	1	948.02456	66.73785
OZO-Redna-006-2001-09-12.ana	1	2459.34904	173.13019
KZNJF-Redna-048-2007-11-15.ana	1	835.50171	58.81661
Redna-33-2007-11-21.ana	1	204.4502	14.39263
Izredna-31-2007-11-26.ana	1	175.87876	12.38129
Izredna-30-2007-11-26.ana	1	175.87876	12.38129
OZK-redna-1-2015-02-05.ana	1	641.81087	45.1814
OZP-redna-29-2017-02-01.ana	1	573.76202	40.39098
OZZ-Redna-025-2007-12-05.ana	1	218.33328	15.36995
KZPTZCPIEM-Nujna-011-2007-12-20.ana	1	1248.47953	87.88891
KZNJF-Nujna-015-2008-01-17.ana	1	756.88406	53.28218
Izredna-33-2008-02-14.ana	1	175.4855	12.35361
Redna-36-2008-02-28.ana	1	197.79443	13.92409
Izredna-34-2008-03-05.ana	1	218.08859	15.35273
Izredna-20-1998-03-13.ana	1	363.38799	25.58134
KZNPIDJF-Nujna-011-2008-03-19.ana	1	373.27097	26.27707
Redna-37-2008-04-01.ana	1	168.93857	11.89273
OZZ-Redna-029-2008-04-09.ana	1	546.37486	38.46302
KZPTZCPIEM-Redna-034-2008-04-18.ana	1	376.19704	26.48305
Redna-19-2006-07-13.ana	1	185.8079	13.08027
Redna-38-2008-04-22.ana	1	276.05962	19.4337
OZNPJUIP-Nujna-029-2006-11-28.ana	1	1264.70798	89.03134
KZNPIDJF-Izredna-002-2002-02-28.ana	1	1902.39722	133.92259
Izredna-37-2013-05-31.ana	1	1123.47359	79.0889
Izredna-39-2004-02-02.ana	1	242.99839	17.1063
OZP-Redna-027-2008-05-08.ana	1	464.3588	32.68935
OZNPJUIP-Nujna-051-2008-05-13.ana	1	445.86315	31.38732
OZIIO-Redna-051-2004-02-04.ana	1	1336.07976	94.05568
OZG-Nujna-024-2008-06-02.ana	1	441.71772	31.09549
OZG-Redna-045-2008-06-04.ana	1	645.04587	45.40914
OZKSIS-Nujna-019-2008-06-11.ana	1	699.00601	49.20776
Redna-40-2008-06-16.ana	1	387.42159	27.27322
Redna-40-2008-06-19.ana	1	138.27435	9.73407
OZNPJUIP-Nujna-055-2008-07-09.ana	1	397.31491	27.96968
OZZEU-Redna-001-2008-11-07.ana	1	1712.29509	120.54002
OZKGIP-Nujna-009-2010-05-28.ana	1	641.49205	45.15896
OZVSZITR-Nujna-001-2008-11-19.ana	1	535.96438	37.73015
KZOSSVZIPS-Nujna-001-2008-11-20.ana	1	725.31019	51.05948
MK-Nujna-005-2008-12-11.ana	1	2631.07984	185.21949
KZOSSVZIPS-Redna-001-2008-12-18.ana	1	730.08172	51.39538
Skupna-2009-01-15.ana	1	1015.89073	71.51541
OZOIP-Redna-022-2007-11-08.ana	1	1953.14176	137.49484
Redna-02-2009-01-29.ana	1	206.34496	14.52602
OZNPJUIP-Nujna-006-2009-02-25.ana	1	1770.78036	124.65719
Redna-03-2009-03-04.ana	1	198.81316	13.9958
OZFIMP-Redna-005-2005-06-13.ana	1	129.58348	9.12226
OZDDSZII-redna-21-2016-04-05.ana	1	243.83261	17.16502
KZPTZCPIEM-Redna-026-2007-09-19.ana	1	1296.44976	91.26586
OZZ-Redna-003-2009-04-15.ana	1	901.05931	63.43165
Skupna-2009-05-13.ana	1	648.37282	45.64334
OZIIO-Nujna-009-2002-11-27.ana	1	13804.85914	971.8173
OZZEU-Nujna-040-2008-07-18.ana	1	10680.60154	751.8797
Redna-06-2005-05-18.ana	1	294.89724	20.75981
OZKSMZIS-Redna-008-2001-09-13.ana	1	492.41542	34.66445
Izredna-01-2004-11-09.ana	1	343.89329	24.20897
Redna-14-2006-03-03.ana	1	401.9695	28.29735
KZNJF-Nujna-004-2009-06-04.ana	1	840.49465	59.1681
Redna-08-2009-07-13.ana	1	181.37617	12.76829
SDZ8-Izredna-24-2019-06-21.ana	1	155.14805	10.92192
OZNPJUIP-Nujna-018-2009-09-02.ana	1	432.66326	30.45809
OZO-nujna-57-2017-11-21.ana	1	1561.69746	109.93843
OZG-Nujna-008-2005-12-13.ana	1	360.50147	25.37813
Redna-09-2009-09-25.ana	1	234.8161	16.53029
OZVSZITR-Redna-007-2005-11-03.ana	1	681.99146	48.00999
OZZP-Nujna-028-2009-11-03.ana	1	432.55786	30.45067
OZDDSZII-Redna-017-2006-06-29.ana	1	589.37848	41.49033
Redna-11-2009-11-17.ana	1	233.89591	16.46551
OZZDDISP-Redna-034-1998-06-04.ana	1	1829.62391	128.79959
Redna-11-2009-11-19.ana	1	190.16841	13.38724
Skupna-2016-07-15.ana	1	2191.14608	154.24958
KZPTZCPIEM-Nujna-005-2009-12-09.ana	1	4062.1104	285.95939
Redna-26-2003-05-29.ana	1	346.36692	24.38311
Redna-12-2009-12-14.ana	1	274.32699	19.31173
Redna-14-2006-03-02.ana	1	233.01347	16.40339
OZFIMP-Redna-013-2010-01-14.ana	1	451.46035	31.78134
SDZ8-Izredna-67-2021-03-23.ana	1	214.72602	15.11602
Izredna-47-2004-06-23.ana	1	249.34527	17.5531
Redna-13-2002-02-21.ana	1	382.66257	26.9382
OZZ-Nujna-010-2010-02-17.ana	1	507.99986	35.76154
KZPTZCPIEM-Redna-011-2010-02-26.ana	1	631.59486	44.46223
Redna-14-2010-03-02.ana	1	128.46084	9.04323
OZOIP-Redna-007-2005-11-17.ana	1	490.64659	34.53993
Izredna-31-1995-07-13.ana	1	315.08296	22.18082
OZP-Nujna-009-2010-03-23.ana	1	1176.60897	82.82945
OZMO-Redna-081-1999-05-04.ana	1	922.71517	64.95615
OZDDSZII-Nujna-001-2008-11-17.ana	1	702.60164	49.46088
Redna-19-2016-05-17.ana	1	136.91759	9.63855
MK-Redna-010-2009-09-17.ana	1	607.42325	42.76063
OZKSSIM-Nujna-008-2010-03-31.ana	1	656.82712	46.2385
ZbZdruDel.1991-09-11.s029-01.ana	1	302.40559	21.28837
Izredna-22-2010-04-07.ana	1	414.03713	29.14687
Izredna-23-2010-05-03.ana	1	228.94627	16.11707
Redna-10-2013-01-31.ana	1	185.3642	13.04904
OZK-redna-11-2016-04-06.ana	1	946.1933	66.60894
Redna-17-2010-05-18.ana	1	172.79584	12.16427
OZNP-Nujna-038-2003-10-15.ana	1	583.59147	41.08295
PZLPIP-Redna-003-2003-02-13.ana	1	673.61533	47.42033
Redna-17-2010-05-21.ana	1	254.08625	17.88685
Redna-15-2006-03-31.ana	1	321.81419	22.65467
OZKGIP-027-Redna-2021-05-06.ana	1	852.44839	60.0096
Izredna-25-2010-06-16.ana	1	234.03849	16.47555
Redna-18-2010-06-17.ana	1	173.38004	12.20539
OZO-Redna-014-2010-06-24.ana	1	842.73849	59.32606
OZNPJUIP-Redna-020-2010-06-30.ana	1	393.13647	27.67553
OZNPJUIP-Nujna-037-2010-09-07.ana	1	565.2911	39.79466
Redna-20-2010-09-23.ana	1	141.16127	9.9373
Redna-20-2010-09-24.ana	1	163.76947	11.52884
OZDDSZII-Javna-003-2010-10-04.ana	1	528.91984	37.23424
Skupna-2010-10-06.ana	1	398.15012	28.02848
Redna-21-2010-10-22.ana	1	276.31738	19.45185
Izredna-29-2010-10-29.ana	1	277.68395	19.54805
Redna-22-2006-11-21.ana	1	259.38938	18.26017
OZG-Nujna-034-2011-11-02.ana	1	1565.65635	110.21713
KZPTZCPIEM-Redna-019-2011-01-14.ana	1	926.14422	65.19755
OZIOIP-nujna-11-2015-04-15.ana	1	570.62746	40.17032
Redna-35-2004-03-29.ana	1	149.30996	10.51094
Redna-38-2018-02-15.ana	1	289.46489	20.37739
OZNP-Redna-007-2001-06-06.ana	1	951.7722	67.00168
OZG-Redna-029-2011-01-20.ana	1	454.30472	31.98158
OZFIMP-Nujna-036-2011-03-01.ana	1	270.04544	19.01032
Redna-13-2010-01-25.ana	1	268.54453	18.90466
OZVSZITR-Nujna-010-2011-03-08.ana	1	750.05016	52.8011
PSGS-Zasedanje-004-2011-03-28.ana	1	423.66906	29.82493
Redna-08-2001-10-02.ana	1	537.97387	37.87162
OZFIMP-Redna-026-2011-04-06.ana	1	670.40446	47.1943
KKPD-Redna-097-2004-03-22.ana	1	2634.98424	185.49434
KZPCPIEM-010-Nujna-2021-03-17.ana	1	417.43168	29.38584
Redna-27-2011-04-21.ana	1	215.50458	15.17082
Redna-28-2011-05-16.ana	1	294.95235	20.76369
Redna-28-2011-05-20.ana	1	202.14595	14.23042
Redna-17-1999-11-19.ana	1	632.52293	44.52756
OZP-Redna-016-2011-06-29.ana	1	662.00019	46.60267
Izredna-14-2009-10-05.ana	1	262.72842	18.49523
OZDDSZII-Nujna-032-2011-08-31.ana	1	725.97741	51.10645
OZNPJUIP-Javna-003-2011-09-13.ana	1	437.7026	30.81284
KZNOIVS-Nujna-013-2011-10-04.ana	1	504.64315	35.52524
Izredna-24-2012-12-21.ana	1	633.9626	44.62891
KZPCPIEM-006-Nujna-2020-11-12.ana	1	358.26482	25.22068
Redna-02-2001-01-30.ana	1	705.14768	49.64011
MK-nujna-3-2012-02-02.ana	1	1524.49024	107.31917
OZDDSZII-nujna-1-2012-02-09.ana	1	593.63952	41.7903
OZPJUILS-javna-1-2012-03-28.ana	1	687.07134	48.36759
OZKGPIO-nujna-5-2012-04-12.ana	1	948.02456	66.73785
Redna-02-2012-04-18.ana	1	409.53699	28.83008
OZFIMP-Redna-036-2003-05-08.ana	1	690.20942	48.5885
Izredna-42-2012-04-21.ana	1	410.80425	28.91929
OZIZKSIM-nujna-5-2012-04-26.ana	1	412.52214	29.04022
KZVSIUS-Redna-005-2000-03-15.ana	1	2916.28004	205.29665
OZFIMP-nujna-19-2012-05-08.ana	1	198.5908	13.98015
OZZP-Redna-007-2005-09-22.ana	1	521.96216	36.74444
OZKGPIO-redna-4-2012-05-09.ana	1	473.71194	33.34778
Skupna-2012-02-03.ana	1	897.86992	63.20713
Redna-17-2006-05-25.ana	1	223.70394	15.74803
OZKSSIM-Redna-030-2011-05-25.ana	1	701.80327	49.40467
Redna-25-2011-02-28.ana	1	259.26629	18.25151
MK-redna-3-2012-05-14.ana	1	3648.90831	256.87131
Redna-34-2017-10-24.ana	1	173.03368	12.18101
Redna-12-2009-12-15.ana	1	176.12954	12.39895
OZNZ-redna-2-2012-05-24.ana	1	1111.95304	78.27789
Redna-06-2005-05-16.ana	1	366.23611	25.78183
OZZ-nujna-4-2012-06-03.ana	1	222.87561	15.68972
Redna-29-2011-06-15.ana	1	205.67871	14.47911
Redna-39-2008-05-20.ana	1	262.36933	18.46995
MK-redna-4-2012-06-07.ana	1	761.06081	53.57621
KZPTZCPIEM-redna-4-2012-06-22.ana	1	489.02506	34.42578
OZKGPIO-redna-8-2012-06-27.ana	1	609.29914	42.89268
KZNJF-redna-25-2016-02-03.ana	1	481.71183	33.91095
Izredna-42-2011-04-21.ana	1	409.87968	28.8542
KZNJF-redna-11-2012-09-06.ana	1	626.88438	44.13063
OZFIMP-nujna-33-2012-10-18.ana	1	254.35012	17.90542
Redna-19-2013-11-21.ana	1	299.73835	21.10061
KZNJF-redna-31-2013-12-10.ana	1	768.76286	54.11841
KZPTZCPIEM-nujna-6-2012-10-26.ana	1	1891.75657	133.17353
OZKGIP-Nujna-007-2009-10-12.ana	1	725.94031	51.10384
SDZ8-Redna-24-2021-07-05.ana	1	220.7902	15.54291
VsiZbor.1991-07-10.s023-01.ana	1	574.89984	40.47108
Izredna-23-2012-12-06.ana	1	555.91125	39.13435
Redna-07-2001-06-22.ana	1	773.11419	54.42473
ZbObc.1991-05-22.s019-03.ana	1	339.95932	23.93203
OZLSIRR-Nujna-004-2010-11-10.ana	1	1295.14953	91.17433
OZG-Redna-012-2009-09-16.ana	1	346.06315	24.36172
OZDDSZII-nujna-12-2012-11-28.ana	1	229.65322	16.16684
Izredna-16-2012-07-18.ana	1	240.68859	16.9437
OZPJUILS-nujna-15-2012-12-07.ana	1	624.95381	43.99472
OZG-nujna-18-2012-12-13.ana	1	1769.0162	124.533
OZO-nujna-1-2012-02-09.ana	1	707.39505	49.79832
KZPTZCPIEM-nujna-2-2014-09-24.ana	1	410.14003	28.87253
KZNJF-Redna-046-2007-11-29.ana	1	1141.43833	80.35356
KPDZ-redna-38-2012-12-20.ana	1	4187.85379	294.81132
KZNOIVS-Nujna-009-2011-01-10.ana	1	1218.18026	85.75594
MK-redna-10-2013-01-24.ana	1	820.01963	57.72672
SDZ8-Redna-18-2020-06-15.ana	1	259.30415	18.25417
Redna-10-2013-01-28.ana	1	243.01918	17.10776
OZDDSZII-redna-10-2013-02-07.ana	1	962.80331	67.77823
KZPTZCPIEM-nujna-8-2013-02-13.ana	1	770.84871	54.26525
OZZDDISP-Redna-039-1998-10-21.ana	1	507.70936	35.74109
OZNPJUIP-Nujna-025-2006-06-21.ana	1	2180.38374	153.49194
Redna-11-2013-03-04.ana	1	1233.51859	86.83571
Redna-05-2009-05-14.ana	1	440.79936	31.03084
OZIZKSIM-nujna-21-2013-03-14.ana	1	633.36901	44.58712
Skupna-2013-03-18.ana	1	276.34425	19.45374
KZNPIDJF-Redna-023-2006-04-14.ana	1	311.58588	21.93463
OZZ-nujna-10-2013-03-18.ana	1	739.73859	52.0752
OZO-nujna-16-2013-03-18.ana	1	652.54261	45.93688
OZDDSZII-nujna-13-2013-03-19.ana	1	610.37254	42.96825
Redna-12-2013-04-02.ana	1	740.97335	52.16212
PSGS-posvet-1-2013-04-19.ana	1	708.98383	49.91016
Redna-29-2017-04-26.ana	1	253.37472	17.83676
OZDDSZII-nujna-14-2013-05-08.ana	1	916.87859	64.54528
Redna-36-2004-05-18.ana	1	218.4508	15.37823
MK-Redna-015-2010-02-25.ana	1	936.58601	65.93262
Redna-21-2010-10-18.ana	1	276.81275	19.48672
Izredna-38-2013-06-07.ana	1	269.60466	18.97929
OZKSSIM-Redna-011-2009-10-06.ana	1	449.10528	31.61555
OZKSMZIS-Izredna-004-2001-06-19.ana	1	2445.37787	172.14667
MK-redna-13-2013-07-04.ana	1	669.04672	47.09872
OZP-010-Redna-2019-09-13.ana	1	538.58578	37.91469
KZOSSVZIPS-srecanje-3-2013-07-04.ana	1	332.09894	23.37869
OZFIMP-nujna-62-2013-07-08.ana	1	368.07711	25.91143
Redna-04-2005-03-22.ana	1	249.43722	17.55957
Izredna-41-2013-07-16.ana	1	257.65331	18.13796
Redna-17-2013-09-25.ana	1	236.78491	16.66889
Redna-17-2013-09-26.ana	1	466.08045	32.81055
Izredna-45-2013-10-08.ana	1	2096.70849	147.60148
KZPTZCPIEM-nujna-9-2013-10-11.ana	1	938.62826	66.07638
OZK-nujna-5-2013-10-16.ana	1	642.07196	45.19978
OZFIMP-nujna-68-2013-10-16.ana	1	483.00578	34.00204
OZNPJUIP-Redna-012-2005-10-12.ana	1	485.68107	34.19037
Redna-18-2013-10-24.ana	1	191.14335	13.45587
Redna-21-2010-10-21.ana	1	216.71447	15.256
OZO-Redna-011-2007-02-16.ana	1	728.28506	51.26891
KKPD-Redna-024-2005-05-17.ana	1	1232.44838	86.76037
Redna-28-2003-07-11.ana	1	473.69615	33.34667
OZG-nujna-40-2013-12-05.ana	1	1966.11765	138.4083
OZNZJUILS-030-Redna-2022-02-15.ana	1	553.20508	38.94384
Redna-30-2007-07-11.ana	1	148.30916	10.44048
Izredna-50-2013-12-13.ana	1	151.43975	10.66087
OZZP-Nujna-084-2008-03-21.ana	1	444.42637	31.28617
OZFIMP-nujna-79-2013-12-19.ana	1	297.67189	20.95514
Izredna-52-2013-12-20.ana	1	286.40671	20.1621
MK-Redna-007-2005-04-14.ana	1	794.78543	55.95032
KZOSSVZIPS-nujna-8-2014-01-17.ana	1	657.13096	46.25989
KZLS-Redna-010-1997-10-22.ana	1	875.18946	61.6105
Redna-39-2008-05-22.ana	1	137.71267	9.69453
SDZ8-Redna-15-2020-01-27.ana	1	205.70552	14.481
Skupna-019-Nujna-2020-01-23.ana	1	422.78639	29.76279
Izredna-47-2017-09-13.ana	1	118.58914	8.34829
KZPTZCPIEM-Nujna-006-2009-12-11.ana	1	2172.38111	152.92858
Izredna-23-2006-11-16.ana	1	132.35686	9.31749
OZIOIP-025-Redna-2021-02-10.ana	1	192.27656	13.53565
Redna-27-2011-05-04.ana	1	303.5364	21.36798
OZK-004-Nujna-2019-02-06.ana	1	652.57259	45.93899
Redna-33-2017-09-19.ana	1	239.52383	16.8617
OZO-nujna-18-2013-06-11.ana	1	469.29862	33.0371
SDZ8-Redna-26-2021-10-18.ana	1	248.96071	17.52603
OZLSIRR-Nujna-001-2004-11-29.ana	1	835.89502	58.8443
Redna-12-2009-12-17.ana	1	133.02742	9.3647
OZG-036-Nujna-2021-07-01.ana	1	243.36057	17.13179
Redna-06-2015-03-25.ana	1	239.30996	16.84664
Redna-14-1999-05-18.ana	1	457.02336	32.17296
OZZEU-030-Redna-2019-02-15.ana	1	515.52169	36.29105
OZIZSIM-016-Redna-2021-03-11.ana	1	313.41453	22.06337
Skupna-2009-07-03_1.ana	1	667.25539	46.97261
SDZ8-Redna-05-2019-03-04.ana	1	308.02524	21.68398
ZbObc.1990-10-25.s007-01.ana	1	392.34381	27.61973
SDZ8-Redna-06-2019-03-26.ana	1	425.91749	29.98321
Izredna-48-2004-07-06.ana	1	469.19012	33.02946
Skupna-2015-02-13.ana	1	954.39398	67.18624
Redna-06-2015-03-27.ana	1	225.92764	15.90457
Skupna-024-Nujna-2019-06-05.ana	1	540.18329	38.02715
OZKGIP-012-Nujna-2019-07-02.ana	1	393.48495	27.70006
SDZ8-Redna-29-2022-02-04.ana	1	208.69744	14.69162
KZNJF-Redna-049-2007-12-12.ana	1	499.76077	35.18154
KZOSSVZIPS-003-Nujna-2019-10-10.ana	1	678.89505	47.79201
KKPD-Redna-034-2005-07-22.ana	1	8182.71892	576.03687
OZK-018-Redna-2022-01-27.ana	1	864.11583	60.83095
OZF-022-Nujna-2019-10-18.ana	1	239.47537	16.85829
KKPD-Redna-061-2006-04-19.ana	1	1008.53391	70.99752
OZZ-nujna-34-2017-09-12.ana	1	532.70832	37.50094
Redna-11-2009-11-20.ana	1	275.6311	19.40354
OZZP-035-Nujna-2022-01-24.ana	1	549.82196	38.70568
SDZ8-Redna-12-2019-10-29.ana	1	242.78243	17.0911
OZDDSZII-014-Redna-2019-11-05.ana	1	249.95513	17.59603
OZF-025-Nujna-2019-11-18.ana	1	241.97186	17.03403
Redna-19-2013-11-18.ana	1	239.41483	16.85403
Redna-16-2016-02-29.ana	1	194.78123	13.71197
OZP-nujna-10-2015-09-09.ana	1	450.9301	31.74402
SDZ8-Redna-13-2019-11-21.ana	1	161.10418	11.34121
Izredna-21-1994-12-08.ana	1	299.64983	21.09438
SDZ8-Redna-14-2019-12-18.ana	1	364.24524	25.64168
OZZEU-099-Redna-2021-02-26.ana	1	296.69577	20.88642
OZKGPIO-nujna-41-2014-05-14.ana	1	637.69079	44.89136
OZG-Izredna-017-1999-11-19.ana	1	2470.46957	173.91304
OZIIP-redna-1-2012-06-19.ana	1	945.56347	66.5646
Redna-14-2015-12-17.ana	1	182.82581	12.87034
Redna-08-2005-07-15.ana	1	256.12492	18.03036
Redna-14-2002-03-28.ana	1	331.67247	23.34867
OZDDSZII-018-Nujna-2019-04-17.ana	1	1018.29391	71.68459
KZOSSVZIPS-Nujna-004-2006-02-03.ana	1	480.21365	33.80548
MK-Nujna-008-2005-11-18.ana	1	851.01846	59.90894
OZKGIP-002-Redna-2018-11-14.ana	1	528.23145	37.18578
Redna-33-2017-09-18.ana	1	262.35479	18.46893
Redna-04-2009-03-26.ana	1	262.44204	18.47507
OZO-nujna-33-2016-04-13.ana	1	201.32657	14.17274
OZK-014-Nujna-2020-02-27.ana	1	232.40732	16.36072
OZP-redna-3-2014-11-12.ana	1	855.58032	60.23008
MK-redna-14-2015-11-12.ana	1	614.43834	43.25447
