method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
Izredna-40-2013-07-05.ana	2	549.8326	38.70643
KPDZ-redna-64-2013-09-20.ana	2	2283.61065	160.75878
Redna-17-2013-09-24.ana	2	343.24514	24.16334
KPDZ-redna-69-2013-10-23.ana	2	3401.22113	239.43493
OZK-nujna-6-2013-11-28.ana	2	729.07001	51.32416
SDZ8-Redna-03-2018-12-18.ana	2	264.86179	18.64541
SDZ8-Redna-03-2018-12-19.ana	2	328.56928	23.13021
SDZ8-Izredna-26-2019-10-07.ana	2	321.34463	22.62162
OZZP-redna-17-2012-12-12.ana	2	1740.51339	122.5265
OZIOIP-029-Redna-2021-05-05.ana	2	1168.67133	82.27067
MK-Redna-011-2009-10-15.ana	2	951.70843	66.99719
OZNZ-redna-6-2012-06-19.ana	2	1329.51472	93.59352
Redna-03-2009-03-02.ana	2	629.04969	44.28306
Izredna-13-2012-05-11.ana	2	460.55733	32.42174
OZIZSIM-018-Redna-2021-05-05.ana	2	696.00921	48.99679
OZZDDSPII-Redna-036-2003-09-12.ana	2	780.91312	54.97375
Redna-18-2006-06-21.ana	2	312.79686	22.01988
Redna-21-2016-07-15.ana	2	549.50292	38.68322
OZP-027-Redna-2021-06-10.ana	2	695.51508	48.96201
Redna-33-2017-09-20.ana	2	400.92574	28.22387
KZNPIDJF-Redna-018-2006-01-26.ana	2	899.2625	63.30516
OZZ-031-Nujna-2020-04-21.ana	2	774.88545	54.54942
OZKGIP-011-Redna-2019-11-13.ana	2	646.77868	45.53112
Skupna-020-Nujna-2020-04-14.ana	2	673.58339	47.41809
OZIZSIM-035-Nujna-2021-04-22.ana	2	690.44425	48.60504
MK-nujna-36-2013-05-29.ana	2	1264.70798	89.03134
OZKSIS-Redna-018-2006-10-05.ana	2	615.26334	43.31254
SDZ8-Redna-30-2022-03-21.ana	2	553.08661	38.9355
Izredna-49-2018-10-11.ana	2	551.4227	38.81837
OZFIMP-nujna-7-2014-11-15.ana	2	507.79103	35.74684
OZK-008-Redna-2020-06-10.ana	2	957.51407	67.40588
SDZ8-Izredna-40-2020-06-11.ana	2	230.60577	16.2339
SDZ8-Izredna-23-2019-05-17.ana	2	467.98445	32.94459
MK-redna-6-2015-02-26.ana	2	492.46663	34.66805
SDZ8-Izredna-44-2020-09-18.ana	2	215.08528	15.14131
Skupna-020-Nujna-2020-06-02.ana	2	556.21599	39.1558
KZNJF-016-Nujna-2020-05-20.ana	2	1511.83483	106.42827
OZNZJUILS-027-Redna-2021-11-04.ana	2	751.24015	52.88487
SDZ8-Izredna-05-2018-08-17.ana	2	1008.21179	70.97484
Redna-11-2013-03-05.ana	2	581.53683	40.93831
KZNJF-redna-51-2018-01-16.ana	2	2090.53717	147.16703
Redna-18-2006-06-19.ana	2	739.31509	52.04538
OZK-013-Redna-2021-06-14.ana	2	485.60636	34.18511
Redna-18-2013-10-29.ana	2	500.63261	35.24291
Redna-13-2015-11-16.ana	2	314.54574	22.143
KZOSSVZIPS-redna-1-2012-03-01.ana	2	2122.39654	149.40983
OZDDSZII-redna-37-2017-03-09.ana	2	734.95447	51.73841
SDZ8-Redna-27-2021-11-16.ana	2	290.54539	20.45345
Izredna-37-2008-06-03.ana	2	300.25153	21.13673
Izredna-08-2001-07-20.ana	2	1101.69071	77.55545
SDZ8-Izredna-16-2018-12-05.ana	2	944.11804	66.46285
OZDDSZII-077-Nujna-2022-03-28.ana	2	1125.47637	79.22989
KZOSSVZIPS-Redna-011-2008-06-23.ana	2	2348.54924	165.33025
Redna-26-2017-01-27.ana	2	940.77288	66.22736
Redna-16-2016-03-03.ana	2	758.84506	53.42023
Redna-22-2010-11-23.ana	2	302.89242	21.32264
SDZ8-Redna-21-2020-10-23.ana	2	417.20487	29.36987
SDZ8-Izredna-88-2021-12-08.ana	2	838.95583	59.05977
Redna-27-2017-02-16.ana	2	531.59195	37.42235
SDZ8-Izredna-13-2018-11-21.ana	2	499.66408	35.17473
OZIOIP-039-Nujna-2021-04-21.ana	2	2282.14315	160.65547
Izredna-01-2014-08-25.ana	2	496.40761	34.94549
OZZP-nujna-50-2014-03-19.ana	2	841.93931	59.2698
OZIOIP-054-Nujna-2022-03-02.ana	2	601.72403	42.35942
Izredna-11-2015-03-26.ana	2	379.73188	26.73189
Izredna-20-2012-11-13.ana	2	337.6282	23.76793
OZDDSZII-redna-13-2015-06-30.ana	2	608.49004	42.83572
SDZ8-Redna-03-2018-12-20.ana	2	295.63679	20.81187
Redna-29-2003-10-01.ana	2	528.41812	37.19892
SDZ8-Redna-02-2018-11-27.ana	2	484.48014	34.10583
SDZ8-Izredna-59-2021-02-04.ana	2	2884.01179	203.02507
OZG-020-Nujna-2020-05-08.ana	2	309.87642	21.81429
OZKSIS-Redna-009-2005-12-01.ana	2	1047.7743	73.75991
Redna-09-2009-09-21.ana	2	535.1164	37.67046
SDZ8-Izredna-53-2020-12-14.ana	2	408.58285	28.76291
KZOSSVZIPS-011-Redna-2020-07-08.ana	2	2314.11583	162.90625
Redna-11-2009-11-18.ana	2	446.63418	31.4416
Izredna-02-2014-08-28.ana	2	454.79926	32.01639
Redna-26-2007-03-29.ana	2	346.00836	24.35787
SDZ8-Izredna-21-2019-04-25.ana	2	632.22734	44.50675
SDZ8-Izredna-95-2022-02-21.ana	2	295.50764	20.80278
KZPTZCPIEM-redna-9-2015-11-13.ana	2	897.16109	63.15723
