method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2021-02-01	3	234.4303	5.44387
2022-01-30	3	317.87141	7.38151
2022-01-11	3	243.63723	5.65767
2024-11-15	3	202.58587	4.70438
2022-02-21	3	235.73199	5.47409
2022-02-15	3	226.8558	5.26797
2022-02-28	3	191.49756	4.4469
2025-05-12	3	247.6866	5.7517
2022-03-03	3	218.89385	5.08308
2021-12-31	3	301.53632	7.00218
2022-04-29	3	269.06095	6.24805
2019-03-09	3	321.48476	7.46542
2024-06-18	3	245.65154	5.70444
2022-05-18	3	226.72283	5.26489
2021-06-21	3	273.70913	6.35599
2021-11-11	3	206.15649	4.7873
2022-08-26	3	236.91345	5.50153
2022-09-15	3	211.14693	4.90319
2022-09-12	3	222.16233	5.15898
2024-07-27	3	383.37132	8.90253
2020-07-18	3	393.63676	9.14091
2022-11-04	3	270.67378	6.2855
2022-11-08	3	222.08213	5.15712
2023-02-21	3	220.64497	5.12375
2021-04-03	3	325.85542	7.56691
2019-01-28	3	293.1311	6.807
2023-01-25	3	222.49597	5.16673
2025-09-05	3	271.83221	6.3124
2023-02-24	3	236.87653	5.50067
2023-04-12	3	218.86047	5.08231
2023-03-30	3	225.33793	5.23273
2023-03-03	3	228.57206	5.30783
2022-04-05	3	240.88923	5.59385
2022-04-24	3	255.02917	5.92221
2023-10-11	3	249.95186	5.8043
2024-12-24	3	317.94808	7.38329
2024-07-25	3	267.41575	6.20984
2025-04-27	3	316.06409	7.33954
2021-12-22	3	228.95852	5.3168
2021-01-25	3	223.72821	5.19534
2021-08-18	3	295.11584	6.85309
2022-04-04	3	246.70373	5.72888
2022-10-30	3	370.39476	8.60119
2025-01-04	3	371.61362	8.62949
2021-04-30	3	261.56774	6.07404
2025-03-15	3	249.96395	5.80458
2023-12-04	3	212.75657	4.94057
2021-08-14	3	353.58185	8.21076
2024-04-11	3	254.26672	5.9045
2023-03-12	3	333.73534	7.7499
2021-04-01	3	243.10358	5.64527
2023-09-15	3	235.91752	5.4784
2026-02-03	3	250.21812	5.81049
2026-02-04	3	231.18246	5.36845
2020-07-21	3	315.54763	7.32755
2025-01-13	3	238.80708	5.5455
2023-04-06	3	228.36721	5.30307
2026-01-27	3	232.60225	5.40142
2020-05-21	3	267.59965	6.21411
2025-05-13	3	248.16525	5.76281
2025-09-24	3	214.64918	4.98451
2026-01-20	3	245.86659	5.70944
2024-07-29	3	295.77054	6.86829
2025-04-06	3	293.38872	6.81298
2023-05-19	3	229.41104	5.32731
2020-07-23	3	281.98843	6.54825
2020-06-25	3	370.55518	8.60491
2021-02-03	3	203.93573	4.73573
2025-04-19	3	360.91223	8.38099
2025-12-20	3	391.005	9.07979
2025-12-12	3	279.88504	6.4994
2025-09-04	3	241.46915	5.60732
2023-05-05	3	259.8526	6.03421
2021-06-20	3	395.82577	9.19174
2025-12-23	3	277.34104	6.44033
2022-10-27	3	219.28025	5.09206
2022-03-23	3	204.26463	4.74337
2025-01-25	3	273.32115	6.34698
2020-09-27	3	361.42314	8.39285
2022-05-14	3	308.70566	7.16866
2022-12-22	3	219.0022	5.0856
2023-05-30	3	229.62389	5.33225
2026-05-20	3	225.74783	5.24224
2024-04-25	3	228.72908	5.31147
2022-05-05	3	234.33718	5.4417
2023-09-25	3	253.10701	5.87757
2023-09-19	3	243.57751	5.65628
2021-11-28	3	284.05434	6.59622
2021-04-22	3	222.62211	5.16966
2019-03-29	3	277.10071	6.43474
2025-05-02	3	382.24268	8.87632
2022-12-07	3	249.80106	5.8008
2024-04-20	3	364.07235	8.45437
2023-07-03	3	358.58613	8.32697
2022-12-17	3	305.8698	7.10281
2025-11-18	3	231.75145	5.38166
2021-09-07	3	242.15803	5.62332
2024-01-28	3	297.12902	6.89984
2025-11-05	3	263.81056	6.12612
2023-10-13	3	241.75292	5.61391
2023-09-16	3	284.68153	6.61078
2025-04-23	3	224.64868	5.21672
2023-06-04	3	321.1076	7.45666
2026-01-12	3	305.91978	7.10397
2019-01-07	3	292.95694	6.80295
2019-10-23	3	272.17927	6.32046
2020-05-20	3	267.46059	6.21088
2020-04-15	3	253.47748	5.88617
2020-04-24	3	236.0546	5.48158
2020-04-05	3	363.48642	8.44077
2020-04-14	3	254.79679	5.91681
2020-04-19	3	338.2609	7.85499
2020-03-20	3	223.287	5.1851
2020-03-23	3	267.28739	6.20686
2020-03-25	3	247.33853	5.74362
2020-01-02	3	511.18451	11.87056
2019-12-14	3	394.51066	9.1612
2019-09-24	3	290.9735	6.75689
2019-09-14	3	411.29175	9.55089
2019-05-28	3	259.26176	6.02049
2019-07-07	3	432.06362	10.03324
2019-06-26	3	305.19996	7.08726
2019-05-24	3	285.93034	6.63978
2019-04-18	3	297.48274	6.90805
2019-02-01	3	267.25532	6.20612
2019-02-18	3	317.27655	7.36769
2020-07-13	2	185.23362	4.30144
2020-08-03	2	209.16501	4.85716
2020-08-31	2	149.20252	3.46473
2020-09-23	2	161.38363	3.7476
2022-12-12	2	159.46176	3.70297
2023-04-07	2	157.13602	3.64896
2021-06-09	2	189.81111	4.40773
2020-09-08	2	167.40153	3.88734
2024-04-27	2	246.31403	5.71983
2020-10-16	2	152.41374	3.5393
2020-10-23	2	172.09071	3.99624
2020-10-25	2	218.22552	5.06756
2020-12-11	2	151.24889	3.51225
2020-12-30	2	155.63561	3.61412
2023-02-20	2	172.92515	4.01561
2021-03-06	2	185.21729	4.30106
2021-04-16	2	154.20719	3.58095
2021-04-11	2	192.27134	4.46486
2021-05-28	2	150.80239	3.50188
2021-06-28	2	161.5274	3.75094
2021-06-27	2	252.03574	5.85269
2021-06-01	2	195.9048	4.54924
2025-05-01	2	291.30615	6.76462
2021-07-29	2	270.1844	6.27414
2021-08-04	2	175.61945	4.07818
